StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Consent,Age,QuestionMorning,QuestionAfternoon,QuestionEvening,Q6
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"You are being asked to be in a study on course registration because you are older than 18. The purpose of the study is to understand how course schedules affect people’s willingness of course registration. Please read the following before agreeing to be in the study. If you agree to be in this study, you will be asked to read a scenario on course registration. There are no anticipated significant risks, benefits, or compensation for completing this study. Your responses will be strictly anonymous. Data from this study will be restricted to the SDS290 class in Spring 2024. The decision to participate in this study is entirely up to you. You may refuse to take part in the study at any time without affecting your relationship with the investigators of this study or Smith College. Your decision will not result in any loss of benefits to which you are otherwise entitled. You have the right not to answer any single question, as well as to withdraw completely from the study at any point during the process; Your participation in this study is anonymous, therefore it will not be possible to withdraw your survey answers from the study after you have submitted the survey. You have the right to ask questions about this study and to have those questions answered by me before, during, or after the research. If you have any further questions about the study, at any time feel free to contact me, Cindy Sun, 857-317-0454, csun76@smith.edu, or my faculty advisor for this study, Randi Garcia, rgarcia@smith.edu. If you like, a summary of the results of the study will be sent to you. If you have any other concerns about your rights as a research participant that have not been answered, or if you have any problems or concerns that occur as a result of your participation, you may contact the Smith College Institutional Review Board at irb@smith.edu or (413) 585- 3562. Alternatively, concerns can be reported by completing a Participant Complaint Form, which can be found on the IRB website at https://www.smith.edu/academics/institutional-review-board/compliance If you would like to keep a copy of this document for your records, please print or save this page now. You may also contact the researcher to request a copy. By clicking below to be taken to the survey, you indicate that you have read and understood the above and have volunteered to participate in this study.",Are you 18 years of age or older?,"You've come across a fascinating course that you'd like to take next semester, but unfortunately, Smith does not offer this particular class. Luckily, you discovered that Amherst College provides this course, scheduled every Monday and Wednesday from 10:10 am to 11:30 am. On a scale of 1 to 5, how inclined are you to enroll in this course? (1 = not interested at all, 5 = Yes! I will definitely take it)","You've come across a fascinating course that you'd like to take next semester, but unfortunately, Smith does not offer this particular class. Luckily, you discovered that Amherst College provides this course, scheduled every Monday and Wednesday from 2:10 pm to 3:30 pm. On a scale of 1 to 5, how inclined are you to enroll in this course? (1 = not interested at all, 5 = Yes! I will definitely take it)","You've come across a fascinating course that you'd like to take next semester, but unfortunately, Smith does not offer this particular class. Luckily, you discovered that Amherst College provides this course, scheduled every Monday and Wednesday from 4:50 pm to 6:10 pm. On a scale of 1 to 5, how inclined are you to enroll in this course? (1 = not interested at all, 5 = Yes! I will definitely take it)",Do you have a car on campus?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID21""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID22""}"
2024-04-23 08:54:28,2024-04-23 08:54:55,IP Address,131.229.143.15,100,27,True,2024-04-23 08:54:56,R_5vjE5kRgpOsSvDN,,,,,42.3182,-72.6419,anonymous,EN,Yes,18 or older,,4,,No
2024-04-23 09:02:00,2024-04-23 09:02:03,IP Address,131.229.232.215,100,3,True,2024-04-23 09:02:03,R_79x82oT88mysDXr,,,,,42.3182,-72.6419,anonymous,EN,No,,,,,
2024-04-23 09:01:57,2024-04-23 09:02:24,IP Address,131.229.115.162,100,26,True,2024-04-23 09:02:24,R_54HmrgiKGakBKGB,,,,,42.3182,-72.6419,anonymous,EN,Yes,18 or older,,,1,Yes
2024-04-23 09:02:02,2024-04-23 09:02:30,IP Address,131.229.151.204,100,27,True,2024-04-23 09:02:30,R_2LJemabLMCpC6hH,,,,,42.3182,-72.6419,anonymous,EN,Yes,18 or older,1,,,Yes
2024-04-23 09:02:09,2024-04-23 09:02:36,IP Address,131.229.232.215,100,27,True,2024-04-23 09:02:36,R_3no7guSAA2uunei,,,,,42.3182,-72.6419,anonymous,EN,Yes,18 or older,,1,,Yes
2024-04-23 09:02:11,2024-04-23 09:02:46,IP Address,131.229.136.131,100,35,True,2024-04-23 09:02:46,R_7LBO6XJG6bvZpcd,,,,,42.3182,-72.6419,anonymous,EN,Yes,18 or older,2,,,No
2024-04-23 09:02:16,2024-04-23 09:02:46,IP Address,131.229.158.254,100,30,True,2024-04-23 09:02:47,R_5eJim9nCL0rQVjz,,,,,42.3182,-72.6419,anonymous,EN,Yes,18 or older,4,,,No
2024-04-23 09:02:23,2024-04-23 09:02:49,IP Address,131.229.158.73,100,26,True,2024-04-23 09:02:49,R_5KGScrfFxSoyWza,,,,,42.3182,-72.6419,anonymous,EN,Yes,18 or older,,2,,Yes
2024-04-23 09:02:31,2024-04-23 09:02:52,IP Address,131.229.233.167,100,21,True,2024-04-23 09:02:52,R_28V6CCkGQntwEmp,,,,,42.3182,-72.6419,anonymous,EN,Yes,18 or older,,,1,Yes
2024-04-23 09:02:37,2024-04-23 09:03:09,IP Address,131.229.155.145,100,32,True,2024-04-23 09:03:10,R_26bxtkr1EsSPi5X,,,,,42.3251,-72.6276,anonymous,EN,Yes,18 or older,,3,,No
2024-04-23 09:02:50,2024-04-23 09:03:20,IP Address,131.229.139.164,100,29,True,2024-04-23 09:03:21,R_3QL0jVM1cVi0Th8,,,,,42.3182,-72.6419,anonymous,EN,Yes,18 or older,,,3,No
2024-04-23 09:02:31,2024-04-23 09:03:23,IP Address,131.229.152.144,100,52,True,2024-04-23 09:03:24,R_2E56CAPAiCnN5Cd,,,,,42.3182,-72.6419,anonymous,EN,Yes,18 or older,,,3,No
2024-04-23 09:02:54,2024-04-23 09:03:26,IP Address,131.229.44.139,100,32,True,2024-04-23 09:03:27,R_2PiXDukjbjAKLbp,,,,,42.3182,-72.6419,anonymous,EN,Yes,18 or older,2,,,Yes
2024-04-23 09:02:14,2024-04-23 09:03:29,IP Address,131.229.144.16,100,74,True,2024-04-23 09:03:30,R_1cwiYLeprpCoAEm,,,,,42.3182,-72.6419,anonymous,EN,Yes,18 or older,,2,,No
2024-04-23 09:03:07,2024-04-23 09:03:33,IP Address,131.229.40.244,100,26,True,2024-04-23 09:03:34,R_2tPIKUnrLuLJtFn,,,,,42.3182,-72.6419,anonymous,EN,Yes,18 or older,,3,,Yes
2024-04-23 09:03:34,2024-04-23 09:04:22,IP Address,131.229.237.43,100,48,True,2024-04-23 09:04:22,R_3ElLUy3IGxe84yS,,,,,42.3182,-72.6419,anonymous,EN,Yes,18 or older,3,,,Yes
2024-04-23 09:03:34,2024-04-23 09:05:01,IP Address,131.229.107.39,100,87,True,2024-04-23 09:05:02,R_2K8dPOFFItCptQv,,,,,42.3182,-72.6419,anonymous,EN,Yes,18 or older,,,2,No
2024-04-23 09:04:17,2024-04-23 09:05:22,IP Address,131.229.106.229,100,65,True,2024-04-23 09:05:23,R_2qxnmgWxOZQijhF,,,,,42.3182,-72.6419,anonymous,EN,Yes,18 or older,,,2,No
2024-04-23 09:06:03,2024-04-23 09:06:50,IP Address,131.229.239.136,100,47,True,2024-04-23 09:06:51,R_1V5YU8nRn8Zs8tH,,,,,42.3182,-72.6419,anonymous,EN,Yes,18 or older,,3,,Yes
2024-04-23 09:12:27,2024-04-23 09:12:55,IP Address,131.229.41.176,100,27,True,2024-04-23 09:12:55,R_1r5NVDOlxO8Tl3H,,,,,42.3182,-72.6419,anonymous,EN,Yes,18 or older,2,,,No
2024-04-23 09:13:07,2024-04-23 09:13:43,IP Address,131.229.159.127,100,36,True,2024-04-23 09:13:44,R_8rVqVTZ0nFm5du0,,,,,42.3182,-72.6419,anonymous,EN,Yes,18 or older,4,,,Yes
2024-04-23 09:13:21,2024-04-23 09:13:53,IP Address,131.229.193.66,100,32,True,2024-04-23 09:13:53,R_7npJWhg21Bsh2ec,,,,,42.3182,-72.6419,anonymous,EN,Yes,18 or older,,,2,No
2024-04-23 09:14:39,2024-04-23 09:15:10,IP Address,131.229.158.38,100,30,True,2024-04-23 09:15:11,R_5ovc97MreogEdT2,,,,,42.3182,-72.6419,anonymous,EN,Yes,18 or older,,2,,No
2024-04-23 09:14:48,2024-04-23 09:15:14,IP Address,131.229.117.162,100,26,True,2024-04-23 09:15:14,R_2RS3YqqzaSSRk9b,,,,,42.3182,-72.6419,anonymous,EN,Yes,18 or older,1,,,No
2024-04-23 09:15:52,2024-04-23 09:16:15,IP Address,131.229.147.206,100,23,True,2024-04-23 09:16:15,R_4j6urjAnCVFik2w,,,,,42.3182,-72.6419,anonymous,EN,Yes,18 or older,,,3,Yes
2024-04-23 09:16:06,2024-04-23 09:16:39,IP Address,131.229.236.201,100,33,True,2024-04-23 09:16:40,R_50GGLv9olCN4vog,,,,,42.3182,-72.6419,anonymous,EN,Yes,18 or older,,4,,No
2024-04-23 09:16:37,2024-04-23 09:17:16,IP Address,131.229.143.202,100,38,True,2024-04-23 09:17:16,R_5Cvou5DDkZhJ9c6,,,,,42.3182,-72.6419,anonymous,EN,Yes,18 or older,,,4,Yes
2024-04-23 09:17:31,2024-04-23 09:18:03,IP Address,131.229.240.211,100,32,True,2024-04-23 09:18:04,R_5Rg84G6pWSfUJ7U,,,,,42.3182,-72.6419,anonymous,EN,Yes,18 or older,4,,,No
2024-04-23 09:18:30,2024-04-23 09:19:02,IP Address,131.229.147.22,100,32,True,2024-04-23 09:19:03,R_5gi45Nu8HAW5QJR,,,,,42.3182,-72.6419,anonymous,EN,Yes,18 or older,,4,,No
2024-04-23 09:19:18,2024-04-23 09:19:41,IP Address,131.229.151.98,100,23,True,2024-04-23 09:19:41,R_2ewPE2SK4qX2lz1,,,,,42.3182,-72.6419,anonymous,EN,Yes,18 or older,,,3,No
